UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722924272871, -5.75, 16.95, 0.95, -0.137, -0.012, -0.0248
1722924272887, -5.85, 16.95, 0.9, -0.136, -0.012, -0.0272
1722924272918, -5.75, 17, 0.85, -0.135, -0.012, -0.028
1722924272949, -5.8, 17.05, 0.95, -0.135, -0.013, -0.0272
1722924272981, -5.8, 17, 0.95, -0.138, -0.012, -0.0296
1722924273012, -5.7, 16.95, 0.9, -0.135, -0.012, -0.0256
1722924273043, -5.8, 17.05, 0.85, -0.136, -0.013, -0.028
1722924273074, -5.75, 16.95, 0.9, -0.137, -0.014, -0.0296
1722924273106, -5.8, 16.95, 0.95, -0.134, -0.013, -0.0288
1722924273137, -5.85, 16.95, 0.9, -0.137, -0.012, -0.028
1722924273168, -5.75, 17.15, 0.9, -0.136, -0.013, -0.0288
1722924273199, -5.75, 17.1, 0.85, -0.135, -0.013, -0.0248
1722924273231, -5.65, 17.05, 0.85, -0.137, -0.012, -0.0264
1722924273262, -5.8, 16.75, 0.85, -0.136, -0.013, -0.0288
1722924273293, -5.8, 17.05, 0.85, -0.133, -0.012, -0.0304
1722924273324, -5.85, 16.9, 0.95, -0.136, -0.012, -0.0304
1722924273356, -5.7, 17.05, 0.95, -0.136, -0.011, -0.028
1722924273387, -5.7, 16.95, 0.95, -0.135, -0.013, -0.028
1722924273418, -5.85, 17, 0.9, -0.138, -0.013, -0.0264
1722924273449, -5.85, 16.95, 0.95, -0.136, -0.013, -0.0296
1722924273481, -5.7, 17.2, 0.9, -0.134, -0.012, -0.028
1722924273512, -5.75, 16.95, 0.9, -0.139, -0.013, -0.0264
1722924273559, -5.75, 16.95, 0.95, -0.135, -0.013, -0.0288
1722924273606, -5.75, 17, 0.95, -0.138, -0.012, -0.0296
1722924273637, -5.8, 17.05, 0.9, -0.134, -0.012, -0.0288
1722924273684, -5.7, 17.05, 0.95, -0.138, -0.014, -0.0288
1722924273715, -5.7, 16.9, 0.95, -0.135, -0.013, -0.0256
1722924273746, -5.7, 17.05, 0.95, -0.135, -0.013, -0.028
1722924273793, -5.8, 16.95, 0.9, -0.136, -0.012, -0.0248
1722924273840, -5.85, 16.9, 0.85, -0.134, -0.013, -0.0304
1722924273871, -5.85, 17, 0.95, -0.138, -0.012, -0.0248
1722924273903, -5.8, 17, 0.9, -0.134, -0.012, -0.0272
1722924273949, -5.85, 17, 0.9, -0.138, -0.014, -0.032
1722924273981, -5.75, 17.05, 0.9, -0.136, -0.013, -0.024
1722924274012, -5.6, 17, 0.9, -0.135, -0.012, -0.0264
1722924274043, -5.75, 17.1, 0.9, -0.138, -0.013, -0.0288
1722924274074, -5.7, 16.95, 0.85, -0.135, -0.013, -0.0104
1722924274106, -5.85, 17.05, 0.85, -0.139, -0.011, -0.0248
1722924274137, -5.5, 17.1, 0.85, -0.14, -0.009, 0.0432
1722924274168, -5.9, 16.95, 0.75, -0.13, -0.012, -0.0424
1722924274199, -5.55, 17.05, 0.95, -0.144, -0.01, 0.032
1722924274231, -5.9, 16.95, 0.9, -0.139, -0.013, -0.048
1722924274262, -5.95, 17.1, 0.85, -0.136, -0.011, -0.048
1722924274293, -5.5, 16.95, 0.9, -0.138, -0.011, 0.0264
1722924274324, -5.85, 17.05, 0.85, -0.133, -0.011, -0.0504
1722924274356, -5.85, 17, 0.9, -0.134, -0.013, -0.044
1722924274387, -5.75, 17.05, 0.95, -0.141, -0.012, -0.0264
1722924274418, -5.9, 17, 0.95, -0.134, -0.013, -0.0504
1722924274465, -5.8, 17, 0.85, -0.14, -0.012, -0.036
1722924274512, -5.8, 16.9, 0.85, -0.133, -0.014, -0.0312
1722924274543, -5.75, 16.8, 0.9, -0.139, -0.014, -0.0224
1722924274574, -5.95, 16.95, 0.85, -0.137, -0.014, -0.0456
1722924274606, -5.6, 16.9, 0.9, -0.132, -0.014, -0.0216
1722924274637, -5.9, 16.95, 0.95, -0.137, -0.013, -0.04
1722924274668, -5.8, 17.1, 0.85, -0.134, -0.013, -0.0328
1722924274699, -5.75, 16.95, 0.85, -0.135, -0.013, -0.0336
1722924274731, -5.95, 16.9, 0.8, -0.139, -0.014, -0.0328
1722924274762, -5.6, 17.05, 0.85, -0.135, -0.012, -0.0232
1722924274793, -5.75, 16.95, 0.95, -0.134, -0.013, -0.0408
1722924274824, -5.85, 16.95, 0.95, -0.139, -0.013, -0.024
1722924274871, -5.8, 16.95, 0.95, -0.134, -0.011, -0.0248
1722924274903, -5.8, 16.95, 0.9, -0.138, -0.011, -0.0312
1722924274918, -5.65, 17.1, 0.8, -0.137, -0.012, -0.0184
1722924274949, -5.7, 16.95, 0.9, -0.134, -0.012, -0.0336
1722924274981, -5.8, 17.05, 0.9, -0.137, -0.013, -0.0248
1722924275012, -5.8, 17.1, 0.9, -0.137, -0.013, -0.0256
1722924275043, -5.8, 16.9, 0.9, -0.133, -0.013, -0.0288
1722924275074, -5.8, 16.95, 0.85, -0.138, -0.012, -0.0264
1722924275106, -5.85, 16.95, 0.95, -0.139, -0.013, -0.0312
1722924275137, -5.8, 17.05, 0.9, -0.134, -0.012, -0.028
1722924275168, -5.75, 16.95, 0.85, -0.139, -0.013, -0.028
1722924275199, -5.85, 16.95, 0.95, -0.135, -0.012, -0.0256
1722924275231, -5.75, 17, 0.9, -0.135, -0.012, -0.0248
1722924275262, -5.75, 17, 0.95, -0.138, -0.013, -0.028
1722924275293, -5.8, 16.95, 0.9, -0.133, -0.012, -0.0232
1722924275324, -5.75, 17.05, 0.9, -0.136, -0.012, -0.0288
1722924275356, -5.85, 17.1, 0.95, -0.138, -0.013, -0.028
1722924275387, -5.8, 16.9, 0.9, -0.134, -0.013, -0.028
1722924275418, -5.85, 16.95, 0.95, -0.135, -0.012, -0.0304
1722924275449, -5.7, 17.15, 0.95, -0.137, -0.013, -0.028
1722924275481, -5.7, 16.95, 0.95, -0.133, -0.013, -0.0264
1722924275512, -5.7, 17, 0.9, -0.138, -0.012, -0.032
1722924275543, -5.75, 16.85, 0.9, -0.136, -0.013, -0.0256
1722924275574, -5.75, 17.05, 0.85, -0.135, -0.013, -0.0312
1722924275606, -5.85, 16.95, 0.9, -0.137, -0.013, -0.0296
1722924275637, -5.75, 16.95, 0.9, -0.138, -0.013, -0.0248
1722924275668, -5.7, 16.9, 0.85, -0.135, -0.012, -0.0248
1722924275699, -5.85, 17.05, 0.85, -0.139, -0.012, -0.0296
1722924275731, -5.75, 16.9, 0.95, -0.135, -0.013, -0.0296
1722924275762, -5.75, 16.95, 0.9, -0.135, -0.012, -0.0312
1722924275793, -5.8, 16.95, 0.85, -0.139, -0.011, -0.0264
1722924275824, -5.7, 17.05, 0.9, -0.134, -0.014, -0.028
1722924275856, -5.85, 17.05, 0.9, -0.137, -0.013, -0.0248
1722924275887, -5.75, 16.85, 0.95, -0.138, -0.013, -0.028
1722924275918, -5.75, 17, 0.95, -0.134, -0.011, -0.0304
1722924275949, -5.75, 17.15, 0.85, -0.136, -0.013, -0.0288
1722924275981, -5.75, 17.05, 0.9, -0.136, -0.012, -0.0272
1722924276012, -5.8, 17.05, 0.9, -0.133, -0.015, -0.0416
1722924276043, -6.05, 17.05, 0.9, -0.135, -0.016, -0.0808
1722924276074, -5.85, 17.05, 0.9, -0.133, -0.014, -0.0448
1722924276106, -5.65, 17.1, 0.95, -0.141, -0.012, 0.0176
1722924276137, -5.9, 17, 0.9, -0.143, -0.015, -0.0976
1722924276168, -5.65, 17, 1, -0.127, -0.012, -0.0048
1722924276199, -5.75, 17, 0.9, -0.137, -0.011, -0.0312
1722924276231, -5.85, 17.05, 0.95, -0.139, -0.014, -0.0312
1722924276262, -5.6, 17.1, 0.85, -0.132, -0.012, -0.016
1722924276293, -5.9, 16.95, 0.95, -0.14, -0.014, -0.0448
1722924276324, -5.75, 17, 0.95, -0.136, -0.012, -0.0112
1722924276356, -5.8, 17, 0.85, -0.129, -0.012, -0.028
1722924276387, -5.8, 17.05, 0.95, -0.143, -0.014, -0.036
1722924276418, -5.7, 16.95, 0.9, -0.137, -0.012, 0.0032
1722924276449, -5.9, 17, 0.9, -0.133, -0.013, -0.0472
1722924276481, -5.7, 17.1, 0.9, -0.143, -0.013, -0.0048
1722924276512, -5.6, 17.1, 0.85, -0.131, -0.012, -0.0336
1722924276543, -5.7, 17.15, 0.9, -0.134, -0.013, -0.0272
1722924276574, -5.75, 17, 0.9, -0.143, -0.013, -0.0176
1722924276606, -5.8, 16.9, 0.85, -0.131, -0.013, -0.036
1722924276637, -5.7, 17.1, 0.95, -0.136, -0.013, -0.0168
1722924276668, -5.9, 16.95, 0.85, -0.14, -0.014, -0.0296
1722924276699, -5.8, 16.95, 0.95, -0.13, -0.013, -0.0288
1722924276731, -5.85, 17.05, 1, -0.136, -0.013, -0.0312
1722924276762, -5.8, 17.05, 0.85, -0.138, -0.013, -0.0312
1722924276793, -5.8, 17, 0.9, -0.131, -0.012, -0.024
1722924276856, -5.85, 16.9, 0.85, -0.138, -0.013, -0.0264
1722924276887, -5.85, 16.95, 0.9, -0.133, -0.013, -0.0288
1722924276918, -5.85, 17.05, 0.9, -0.14, -0.013, -0.0328
1722924276949, -5.8, 16.95, 0.85, -0.134, -0.013, -0.0288
1722924276981, -5.8, 16.95, 0.95, -0.135, -0.011, -0.0304
1722924277012, -5.65, 16.9, 0.9, -0.142, -0.013, -0.0256
1722924277059, -5.75, 17.1, 0.85, -0.131, -0.012, -0.0224
1722924277090, -5.7, 16.9, 0.95, -0.141, -0.013, -0.024
1722924277121, -5.6, 17, 0.95, -0.136, -0.013, -0.032
1722924277153, -5.85, 17, 0.9, -0.132, -0.013, -0.0248
1722924277184, -5.75, 16.95, 0.9, -0.142, -0.012, -0.0296
1722924277215, -5.8, 17, 0.95, -0.133, -0.012, -0.0232
1722924277246, -5.75, 16.9, 0.9, -0.133, -0.013, -0.0304
1722924277278, -5.85, 17.1, 0.9, -0.141, -0.012, -0.0272
1722924277340, -5.75, 17.1, 0.85, -0.135, -0.013, -0.0296
1722924277387, -5.85, 17, 0.9, -0.14, -0.012, -0.0288
1722924277418, -5.8, 16.9, 0.9, -0.132, -0.012, -0.0272
1722924277465, -5.75, 17, 0.95, -0.141, -0.013, -0.028
1722924277512, -5.8, 16.95, 0.9, -0.135, -0.012, -0.0272
1722924277543, -5.75, 16.95, 0.95, -0.14, -0.012, -0.028
1722924277574, -5.9, 16.9, 0.9, -0.133, -0.013, -0.0272
1722924277606, -5.75, 17, 0.85, -0.136, -0.013, -0.0264
1722924277637, -5.75, 17, 0.9, -0.139, -0.013, -0.032
1722924277668, -5.75, 17, 0.95, -0.13, -0.013, -0.0304
1722924277699, -5.75, 16.95, 0.9, -0.139, -0.013, -0.0264
1722924277731, -5.85, 16.95, 0.95, -0.138, -0.013, -0.0288
1722924277762, -5.8, 17.05, 0.85, -0.132, -0.012, -0.0272
1722924277793, -5.75, 17.05, 0.9, -0.138, -0.013, -0.0288
1722924277824, -5.75, 17, 0.9, -0.136, -0.012, -0.0296
1722924277856, -5.7, 16.95, 1, -0.132, -0.013, -0.0296
1722924277887, -5.65, 16.9, 0.95, -0.139, -0.012, -0.028
1722924277918, -5.6, 17, 0.9, -0.134, -0.014, -0.048
1722924277949, -5.75, 16.95, 0.9, -0.137, -0.013, -0.016
1722924277981, -5.85, 17.05, 0.95, -0.137, -0.017, -0.0656
1722924278043, -5.85, 16.8, 0.85, -0.135, -0.013, -0.056
1722924278106, -6, 16.9, 0.9, -0.131, -0.014, -0.0592
1722924278184, -5.6, 17.1, 0.9, -0.135, -0.012, 0.0136
1722924278246, -6.05, 17, 0.8, -0.135, -0.014, -0.0648
1722924278309, -5.8, 17.1, 0.9, -0.137, -0.012, -0.0432
1722924278340, -5.8, 16.95, 0.95, -0.133, -0.013, -0.036
1722924278371, -5.75, 16.9, 0.9, -0.136, -0.014, -0.028
1722924278403, -5.95, 17.05, 0.85, -0.14, -0.014, -0.0496
1722924278449, -5.8, 16.95, 0.9, -0.135, -0.013, -0.02
1722924278481, -5.7, 16.9, 0.95, -0.139, -0.012, -0.0192
1722924278528, -5.75, 16.95, 1, -0.135, -0.013, -0.036
1722924278574, -5.75, 17, 0.9, -0.139, -0.012, -0.0352
1722924278606, -5.85, 16.9, 0.95, -0.134, -0.012, -0.032
1722924278637, -5.8, 17.2, 0.9, -0.136, -0.012, -0.0208
1722924278668, -5.8, 17.1, 0.9, -0.138, -0.013, -0.0352
1722924278699, -5.9, 17.05, 0.9, -0.133, -0.012, -0.0208
1722924278731, -5.85, 17, 0.9, -0.138, -0.013, -0.0296
1722924278793, -5.85, 17, 0.85, -0.134, -0.013, -0.0288
1722924278840, -5.85, 16.95, 1, -0.14, -0.012, -0.0264
1722924278903, -5.7, 17, 0.95, -0.134, -0.012, -0.0312
1722924278934, -5.75, 17.1, 0.9, -0.14, -0.013, -0.0304
1722924279012, -5.75, 17.05, 0.9, -0.138, -0.012, -0.0256
1722924279059, -5.6, 17.05, 0.95, -0.133, -0.011, -0.0264
1722924279106, -5.75, 16.95, 0.9, -0.14, -0.013, -0.028
1722924279137, -5.85, 16.95, 0.95, -0.134, -0.012, -0.0288
1722924279168, -5.8, 16.95, 0.95, -0.136, -0.012, -0.0248
1722924279199, -5.85, 17, 0.9, -0.139, -0.014, -0.0296
1722924279231, -5.8, 17.05, 0.85, -0.134, -0.014, -0.0264
1722924279262, -5.75, 17, 0.85, -0.138, -0.012, -0.0264
1722924279293, -5.8, 17.1, 0.85, -0.14, -0.012, -0.0288
1722924279324, -5.8, 17, 0.95, -0.133, -0.012, -0.028
1722924279356, -5.7, 17.1, 0.9, -0.136, -0.012, -0.028
1722924279387, -5.75, 16.95, 0.9, -0.137, -0.012, -0.0264
1722924279418, -5.8, 17.05, 0.85, -0.133, -0.013, -0.0264
1722924279449, -5.7, 17.05, 0.85, -0.139, -0.013, -0.0272
1722924279496, -5.85, 16.95, 0.85, -0.134, -0.012, -0.032
1722924279574, -5.8, 17.05, 0.9, -0.138, -0.012, -0.0296
1722924279621, -5.8, 16.95, 0.9, -0.137, -0.013, -0.0248
1722924279668, -5.75, 16.95, 0.95, -0.134, -0.011, -0.0264
1722924279715, -5.75, 17, 0.9, -0.14, -0.012, -0.028
1722924279778, -5.7, 17.05, 0.85, -0.134, -0.014, -0.0288
1722924279809, -5.7, 16.9, 0.8, -0.141, -0.013, -0.0272
1722924279840, -5.8, 17, 0.9, -0.134, -0.013, -0.028
1722924279871, -5.8, 17.05, 0.8, -0.131, -0.013, -0.0288
1722924279903, -5.8, 16.85, 0.95, -0.14, -0.012, -0.0304
1722924279934, -5.85, 17.1, 0.9, -0.134, -0.012, -0.028
1722924279965, -5.8, 17.05, 0.9, -0.133, -0.012, -0.0272
1722924279996, -5.75, 17.15, 0.9, -0.14, -0.012, -0.0288
1722924280028, -5.8, 16.9, 0.9, -0.134, -0.011, -0.0296
1722924280059, -5.75, 17, 0.85, -0.138, -0.013, -0.0264
1722924280090, -5.85, 16.9, 0.95, -0.139, -0.014, -0.0304
1722924280121, -5.7, 17, 0.9, -0.132, -0.013, -0.028
1722924280153, -5.8, 17.1, 1, -0.137, -0.013, -0.0272
1722924280184, -5.75, 17.1, 0.9, -0.135, -0.012, -0.0288
1722924280215, -5.9, 17.05, 0.9, -0.132, -0.012, -0.028
1722924280246, -5.7, 17, 1, -0.14, -0.013, -0.0264
1722924280309, -5.8, 16.95, 0.95, -0.133, -0.012, -0.0264
1722924280340, -5.8, 16.95, 0.9, -0.14, -0.011, -0.0296
1722924280371, -5.65, 17.05, 0.9, -0.136, -0.013, -0.0296
1722924280403, -5.7, 17.05, 0.9, -0.135, -0.013, -0.0272
1722924280434, -5.85, 16.9, 0.85, -0.139, -0.013, -0.0272
1722924280465, -5.7, 17, 0.9, -0.133, -0.012, -0.0256
1722924280512, -5.8, 17.05, 0.95, -0.138, -0.012, -0.0264
1722924280543, -5.75, 17.05, 0.9, -0.136, -0.013, -0.0272
1722924280574, -5.8, 16.95, 0.9, -0.132, -0.012, -0.0256
1722924280606, -5.85, 16.9, 0.85, -0.139, -0.013, -0.0304
1722924280637, -5.85, 16.9, 0.9, -0.136, -0.012, -0.0288
1722924280668, -5.65, 17.05, 0.9, -0.134, -0.012, -0.0288
1722924280699, -5.85, 16.9, 0.9, -0.14, -0.013, -0.0312
1722924280746, -5.85, 17, 0.85, -0.135, -0.012, -0.028
1722924280778, -5.75, 17, 0.85, -0.138, -0.012, -0.0296
1722924280824, -5.85, 16.9, 0.9, -0.134, -0.013, -0.0264
1722924280871, -5.85, 17.05, 0.9, -0.14, -0.014, -0.0296
1722924280918, -5.85, 17.05, 0.8, -0.132, -0.013, -0.0272
1722924280949, -5.85, 16.9, 0.85, -0.138, -0.012, -0.028
1722924280981, -5.85, 16.95, 0.9, -0.138, -0.013, -0.028
1722924281028, -5.75, 17.05, 0.85, -0.136, -0.012, -0.0304
1722924281059, -5.75, 17, 0.9, -0.139, -0.012, -0.028
1722924281090, -5.85, 17.05, 0.95, -0.133, -0.012, -0.0288
1722924281121, -5.7, 16.9, 0.9, -0.138, -0.012, -0.0272
1722924281153, -5.65, 17.1, 0.95, -0.138, -0.012, -0.0272
1722924281184, -5.8, 16.95, 0.9, -0.134, -0.012, -0.0272
1722924281215, -5.65, 17, 0.85, -0.139, -0.012, -0.0304
1722924281246, -5.8, 17, 0.95, -0.137, -0.012, -0.0312
1722924281278, -5.8, 16.95, 0.9, -0.133, -0.012, -0.0296
1722924281309, -5.85, 17.1, 0.95, -0.138, -0.013, -0.0296
1722924281340, -5.75, 16.95, 0.85, -0.136, -0.013, -0.0304
1722924281371, -5.65, 16.95, 0.9, -0.135, -0.013, -0.0288
1722924281403, -5.8, 16.85, 1, -0.138, -0.012, -0.0288
1722924281434, -5.85, 16.95, 0.9, -0.134, -0.012, -0.0288
1722924281481, -5.75, 17.05, 0.9, -0.137, -0.013, -0.0256
1722924281512, -5.65, 16.9, 0.9, -0.136, -0.013, -0.0288
1722924281543, -5.7, 17.05, 0.85, -0.133, -0.013, -0.0272
1722924281590, -5.75, 16.9, 0.85, -0.138, -0.012, -0.0296
1722924281637, -5.85, 17.05, 0.9, -0.135, -0.012, -0.0264
1722924281684, -5.75, 16.9, 0.9, -0.137, -0.014, -0.0288
1722924281715, -5.75, 17, 0.85, -0.134, -0.012, -0.0264
1722924281746, -5.6, 17, 0.95, -0.138, -0.012, -0.028
1722924281778, -5.85, 17, 0.95, -0.137, -0.012, -0.028
1722924281809, -5.7, 17, 0.95, -0.133, -0.012, -0.0248
1722924281840, -5.7, 17.05, 0.85, -0.137, -0.014, -0.0264
1722924281871, -5.7, 16.95, 0.95, -0.136, -0.012, -0.028
1722924281903, -5.8, 16.9, 0.9, -0.134, -0.013, -0.028
1722924281934, -5.7, 17.05, 0.9, -0.139, -0.012, -0.0272
1722924281965, -5.9, 17, 0.9, -0.134, -0.013, -0.0248
1722924281996, -5.7, 17.1, 0.9, -0.136, -0.014, -0.0264
1722924282028, -5.8, 16.95, 0.95, -0.138, -0.013, -0.0288
1722924282059, -5.9, 17, 0.9, -0.133, -0.013, -0.0288
1722924282090, -5.65, 17.05, 0.85, -0.137, -0.013, -0.0264
1722924282121, -5.85, 16.95, 0.9, -0.138, -0.014, -0.028
1722924282153, -5.8, 17, 0.9, -0.135, -0.013, -0.028
1722924282199, -5.7, 17.05, 0.9, -0.138, -0.013, -0.0304
1722924282246, -5.8, 17, 0.95, -0.133, -0.013, -0.028
1722924282293, -5.75, 17.1, 0.9, -0.139, -0.013, -0.0296
1722924282340, -5.9, 16.95, 0.85, -0.133, -0.013, -0.0288
1722924282387, -5.75, 17.05, 0.8, -0.137, -0.014, -0.0256
1722924282434, -5.65, 16.95, 0.9, -0.138, -0.012, -0.0288
1722924282465, -5.75, 16.9, 0.95, -0.136, -0.014, -0.0272
1722924282496, -5.85, 16.9, 0.85, -0.135, -0.013, -0.0288
1722924282528, -5.85, 17.1, 0.85, -0.136, -0.011, -0.0272
1722924282559, -5.7, 16.85, 1, -0.136, -0.013, -0.0264
1722924282590, -5.8, 17.05, 0.9, -0.134, -0.012, -0.0288
1722924282621, -5.7, 17, 0.95, -0.139, -0.013, -0.0264
1722924282653, -5.75, 16.9, 0.9, -0.136, -0.013, -0.0296
1722924282684, -5.85, 16.95, 0.85, -0.134, -0.012, -0.0288
1722924282715, -5.8, 16.85, 0.85, -0.139, -0.011, -0.0256
1722924282746, -5.8, 16.95, 1, -0.136, -0.012, -0.028
1722924282778, -5.8, 16.95, 0.9, -0.134, -0.012, -0.0288
1722924282809, -5.85, 17.15, 1, -0.138, -0.013, -0.0264
1722924282840, -5.8, 17.1, 0.85, -0.134, -0.014, -0.0288
1722924282871, -5.75, 16.95, 0.85, -0.135, -0.012, -0.028
1722924282903, -5.85, 16.95, 0.85, -0.138, -0.014, -0.0296
1722924282981, -5.85, 16.9, 0.9, -0.136, -0.013, -0.0272
1722924283012, -5.75, 17, 0.85, -0.136, -0.013, -0.0296
1722924283043, -5.8, 17.1, 0.9, -0.134, -0.013, -0.0272
1722924283059, -5.8, 17.1, 0.9, -0.137, -0.013, -0.0288
1722924283074, -5.75, 16.85, 0.9, -0.137, -0.012, -0.0264
1722924283090, -5.85, 17.15, 0.95, -0.136, -0.013, -0.028
1722924283121, -5.8, 16.9, 0.9, -0.134, -0.012, -0.0288
1722924283153, -5.75, 16.95, 0.9, -0.139, -0.012, -0.0272
1722924283184, -5.8, 16.95, 0.85, -0.136, -0.012, -0.028
1722924283215, -5.75, 17, 0.9, -0.135, -0.012, -0.0264
1722924283246, -5.75, 16.95, 0.9, -0.138, -0.012, -0.0288
1722924283278, -5.8, 17, 0.9, -0.136, -0.012, -0.0296
1722924283309, -5.8, 16.85, 0.9, -0.135, -0.013, -0.0296
1722924283340, -5.75, 16.95, 0.9, -0.138, -0.012, -0.0288
1722924283371, -5.75, 17.05, 0.9, -0.134, -0.014, -0.0264
1722924283403, -5.7, 17, 0.95, -0.136, -0.013, -0.028
1722924283449, -5.6, 17.1, 0.9, -0.137, -0.011, -0.0272
1722924283512, -5.75, 17.05, 0.9, -0.137, -0.012, -0.0288
1722924283543, -5.8, 16.9, 0.9, -0.135, -0.012, -0.0288
1722924283590, -5.75, 16.95, 0.85, -0.137, -0.012, -0.0264
1722924283637, -5.65, 16.95, 0.9, -0.135, -0.012, -0.0264
1722924283668, -5.65, 17.1, 0.9, -0.137, -0.013, -0.0296
1722924283715, -5.75, 17.05, 0.9, -0.137, -0.012, -0.0248
1722924283762, -5.75, 17, 0.95, -0.136, -0.013, -0.0248
1722924283793, -5.75, 17.05, 0.85, -0.137, -0.013, -0.0304
1722924283824, -5.75, 16.9, 0.8, -0.135, -0.013, -0.0304
1722924283856, -5.75, 17.05, 0.9, -0.138, -0.013, -0.0272
1722924283887, -5.75, 17, 0.95, -0.135, -0.012, -0.0288
1722924283918, -5.85, 16.9, 0.9, -0.134, -0.014, -0.0232
1722924283949, -5.8, 16.95, 0.9, -0.137, -0.012, -0.0264
1722924283981, -5.85, 16.95, 0.95, -0.135, -0.011, -0.0288
1722924284012, -5.75, 16.95, 0.9, -0.136, -0.012, -0.0296
1722924284043, -5.85, 17.1, 0.95, -0.137, -0.013, -0.0272
1722924284074, -5.85, 17, 1, -0.137, -0.012, -0.0296
1722924284106, -5.6, 17, 0.9, -0.134, -0.012, -0.0288
1722924284168, -5.7, 17, 1, -0.134, -0.012, -0.0296
1722924284199, -5.75, 16.95, 0.85, -0.135, -0.014, -0.0296
1722924284246, -5.8, 17, 1.05, -0.136, -0.012, -0.0296
1722924284278, -5.85, 17.1, 0.95, -0.135, -0.011, -0.0288
1722924284324, -5.75, 17, 0.9, -0.136, -0.012, -0.0296
1722924284371, -5.9, 16.9, 0.85, -0.134, -0.013, -0.0272
1722924284403, -5.75, 16.95, 1, -0.138, -0.014, -0.028
1722924284449, -5.7, 16.9, 0.95, -0.134, -0.012, -0.0272
1722924284465, -5.75, 17, 0.95, -0.137, -0.012, -0.0264
1722924284496, -5.85, 17.1, 0.9, -0.137, -0.012, -0.028
1722924284528, -5.75, 16.95, 0.85, -0.136, -0.012, -0.0288
1722924284559, -5.75, 16.9, 0.95, -0.136, -0.012, -0.0288
1722924284590, -5.65, 17, 1, -0.138, -0.012, -0.0264
1722924284621, -5.8, 16.95, 0.95, -0.135, -0.013, -0.028
1722924284653, -5.75, 16.95, 0.9, -0.136, -0.013, -0.028
1722924284684, -5.7, 16.95, 0.9, -0.137, -0.012, -0.028
1722924284715, -5.75, 16.9, 0.95, -0.135, -0.012, -0.028
1722924284746, -5.75, 17, 0.9, -0.139, -0.013, -0.0248
1722924284778, -5.8, 16.95, 0.9, -0.136, -0.012, -0.028
1722924284809, -5.85, 17.05, 0.9, -0.135, -0.012, -0.0256
1722924284840, -5.75, 17, 0.9, -0.136, -0.012, -0.0264
1722924284887, -5.75, 16.95, 0.9, -0.136, -0.013, -0.028
1722924284918, -5.8, 16.95, 1, -0.137, -0.013, -0.0256
1722924284949, -5.7, 17.1, 0.85, -0.138, -0.012, -0.028
1722924284981, -5.8, 16.9, 0.9, -0.135, -0.013, -0.0304
1722924285012, -5.75, 17.05, 0.9, -0.136, -0.014, -0.028
1722924285043, -5.75, 16.95, 0.95, -0.136, -0.013, -0.0264
1722924285074, -5.7, 17.05, 0.85, -0.136, -0.013, -0.028
1722924285121, -5.7, 17, 0.9, -0.136, -0.014, -0.028
1722924285153, -5.75, 16.95, 0.95, -0.136, -0.012, -0.0264
1722924285184, -5.75, 17, 0.85, -0.137, -0.013, -0.0296
1722924285215, -5.75, 17.1, 0.85, -0.137, -0.013, -0.0312
1722924285246, -5.7, 17.05, 0.85, -0.135, -0.013, -0.0256
1722924285293, -5.75, 17.05, 0.95, -0.137, -0.011, -0.0272
1722924285324, -5.85, 17.05, 0.9, -0.134, -0.013, -0.0272
1722924285356, -5.8, 17.1, 0.9, -0.137, -0.013, -0.0288
1722924285418, -5.85, 17, 0.95, -0.135, -0.012, -0.0248
1722924285465, -5.75, 17.15, 1, -0.137, -0.014, -0.0272
1722924285512, -5.65, 16.9, 0.9, -0.136, -0.013, -0.0288
1722924285559, -5.8, 17.05, 0.9, -0.137, -0.012, -0.028
1722924285590, -5.75, 17, 0.95, -0.136, -0.012, -0.028
1722924285621, -5.75, 16.9, 0.85, -0.138, -0.012, -0.0272
1722924285653, -5.8, 16.9, 0.85, -0.136, -0.013, -0.028
1722924285684, -5.8, 17.05, 0.9, -0.134, -0.013, -0.0248
1722924285715, -5.75, 17.05, 0.9, -0.136, -0.012, -0.028
1722924285746, -5.75, 16.85, 0.9, -0.136, -0.014, -0.0272
1722924285778, -5.8, 17, 0.95, -0.135, -0.013, -0.028
1722924285809, -5.85, 17.1, 0.9, -0.137, -0.012, -0.0288
1722924285840, -5.85, 17, 0.85, -0.135, -0.012, -0.028
1722924285871, -5.8, 16.9, 0.85, -0.134, -0.012, -0.0264
1722924285903, -5.6, 16.9, 1, -0.137, -0.013, -0.0288
1722924285934, -5.65, 17, 0.9, -0.137, -0.012, -0.028
1722924285965, -5.9, 17, 0.9, -0.136, -0.011, -0.0264
1722924285996, -5.85, 17.05, 0.9, -0.138, -0.013, -0.0296
1722924286028, -5.8, 16.9, 0.9, -0.134, -0.013, -0.0296
1722924286059, -5.75, 16.95, 0.8, -0.136, -0.011, -0.0232
1722924286106, -5.7, 17, 0.85, -0.136, -0.013, -0.028
1722924286153, -5.7, 17.05, 0.85, -0.136, -0.012, -0.0256
1722924286199, -5.75, 16.95, 0.85, -0.135, -0.014, -0.0304
1722924286246, -5.8, 16.95, 0.95, -0.137, -0.012, -0.0272
1722924286293, -5.7, 17.05, 0.95, -0.134, -0.013, -0.0272
